text,label
"The patient was prescribed ACE inhibitors to help manage hypertension.",1
"Myocardial infarction is often signaled by chest pain and shortness of breath.",1
"An electrocardiogram revealed arrhythmia, suggesting an abnormal heart rhythm.",1
"The local grocery store is introducing a new line of organic fruits and vegetables.",0
"Magnetic resonance imaging (MRI) can detect soft tissue abnormalities with high accuracy.",1
"The investment bank announced a merger with a major tech startup today.",0
"A combination of beta-blockers and statins is frequently recommended after a cardiovascular event.",1
"The airline reported delays due to heavy snow at the main airport.",0
"Renal function tests indicate mild kidney impairment in the elderly patient.",1
"The new art exhibition showcases contemporary sculptures made from recycled materials.",0
